     2.117      1.200      3.600      0.083      0.000     46.200          M
     3.783      1.200      3.600      0.083      0.000     14.400          M
     5.450      1.200      3.600      0.083      0.000     17.200          C
     7.117      1.200      3.600      0.083      0.000     25.200          A
     8.783      1.200      3.600      0.083      0.000     35.600          M
    61.283      2.643      3.600      0.042      0.072     32.200          M
    62.117      4.087      3.600      0.042      0.072     43.400          C
    62.950      5.530      3.600      0.042      0.072     19.800          C
    63.783      6.974      3.600      0.042      0.072     32.600          A
    64.617      8.417      3.600      0.042      0.072     25.600          C
    65.450      9.860      3.600      0.042      0.072     27.000          A
    66.283     11.304      3.600      0.042      0.072     37.600          A
   116.893     97.296      3.650      0.072      0.042     47.400          M
   118.337     98.129      3.650      0.072      0.042     30.200          C
   119.780     98.963      3.650      0.072      0.042     11.000          M
   121.224     99.796      3.650      0.072      0.042     44.200          A
   122.667    100.629      3.650      0.072      0.042     28.200          M
   124.110    101.463      3.650      0.072      0.042     15.400          C
   125.554    102.296      3.650      0.072      0.042     14.800          A
   126.997    103.129      3.650      0.072      0.042     18.600          C
   128.440    103.963      3.650      0.072      0.042     13.400          A
   129.884    104.796      3.650      0.072      0.042     25.000          A
   167.843    128.073      3.550      0.022      0.080     21.400          A
   168.274    129.683      3.550      0.022      0.080     49.200          C
   168.706    131.292      3.550      0.022      0.080     26.600          A
   169.137    132.902      3.550      0.022      0.080     32.000          M
   169.568    134.512      3.550      0.022      0.080     33.400          A
   170.000    136.122      3.550      0.022      0.080     28.000          M
   170.431    137.732      3.550      0.022      0.080     20.000          M
   170.862    139.342      3.550      0.022      0.080     16.200          A
   188.980    210.176      3.600     -0.022      0.080     39.200          A
   188.548    211.786      3.600     -0.022      0.080     30.400          C
   188.117    213.396      3.600     -0.022      0.080     39.000          C
   187.686    215.006      3.600     -0.022      0.080     32.400          C
   187.254    216.616      3.600     -0.022      0.080     18.600          M
   186.823    218.226      3.600     -0.022      0.080     20.600          C
   186.392    219.836      3.600     -0.022      0.080     33.000          M
   185.960    221.446      3.600     -0.022      0.080     37.200          M
   185.529    223.055      3.600     -0.022      0.080     14.800          M
   167.843    292.280      3.550      0.022      0.080     17.800          A
   168.274    293.890      3.550      0.022      0.080     15.000          A
   168.706    295.500      3.550      0.022      0.080     15.800          M
   169.137    297.110      3.550      0.022      0.080     34.200          A
   169.568    298.720      3.550      0.022      0.080     20.000          M
   170.000    300.329      3.550      0.022      0.080     30.400          M
   170.431    301.939      3.550      0.022      0.080     21.600          M
   170.862    303.549      3.550      0.022      0.080     46.200          A
   171.294    305.159      3.550      0.022      0.080     39.000          A
   182.509    350.236      3.650     -0.022      0.080     22.600          A
   182.078    351.845      3.650     -0.022      0.080     39.000          C
   181.647    353.455      3.650     -0.022      0.080     28.600          C
   181.215    355.065      3.650     -0.022      0.080     35.200          C
   180.784    356.675      3.650     -0.022      0.080     18.400          A
   180.352    358.285      3.650     -0.022      0.080     23.600          C
   179.921    359.895      3.650     -0.022      0.080     37.000          M
   167.843    408.191      3.600      0.022      0.080     16.800          A
   168.274    409.801      3.600      0.022      0.080     19.000          C
   168.706    411.411      3.600      0.022      0.080     12.400          M
   169.137    413.021      3.600      0.022      0.080     38.600          A
   169.568    414.631      3.600      0.022      0.080     29.200          C
   170.000    416.241      3.600      0.022      0.080     15.400          A
   170.431    417.850      3.600      0.022      0.080     43.000          A
   170.862    419.460      3.600      0.022      0.080     42.600          M
   171.294    421.070      3.600      0.022      0.080     41.600          A
   171.725    422.680      3.600      0.022      0.080     17.000          A
